Name,Level,Slot,Jobs,Stats,Horizon Changes
Apple Tank,1,Back,All Jobs,Dispense: Apple au Lait,none
Ether Tank,1,Back,All Jobs,Dispense: Ether,none
Orange Tank,1,Back,All Jobs,Dispense: Orange au Lait,none
Pamama Tank,1,Back,All Jobs,Dispense: Pamama au Lait,none
Pear Tank,1,Back,All Jobs,Dispense: Pear au Lait,none
Persikos Tank,1,Back,All Jobs,Dispense: Persikos au Lait,none
Potion Tank,1,Back,All Jobs,Dispense: Potion,none
Water Tank,1,Back,All Jobs,Dispense: Distilled Water,none
Rabbit Mantle,4,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 1,none
Rabbit Mantle +1,4,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 2,none
Cape,7,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 1,none
Cape +1,7,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 2,none
Mist Silk Cape,10,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 3 MND +1 +3,
Traveler's Mantle,12,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 1 Evasion +3,none
Lizard Mantle,17,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 2,none
Lizard Mantle +1,17,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 3,none
Dhalmel Mantle,18,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR / DNC / RUN,DEF: 3,
Breath Mantle,18,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 3 Enchantment: HP +18 Enmity +3,none
Cotton Cape,18,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 2,none
Cotton Cape +1,18,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 3,none
Dhalmel Mantle +1,18,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 4,none
Talisman Cape,18,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 2 Enchantment: MP +12 Enmity -2,none
Variable Cape,20,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 2~ MP 3~,none
Variable Mantle,20,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 3~,none
Night Cape,21,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 3 +3 Evasion +3,none
Nomad's Mantle,24,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 2 AGI +1 Evasion +3,none
Nomad's Mantle +1,24,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 3 AGI +2 Evasion +3,none
Invisible Mantle,28,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,"DEF: 4 +4 Enchantment: ""Invisible""",none
Wolf Mantle,28,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 4 +4,none
Wolf Mantle +1,28,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5 +3 +3 +3 +3 +3 +3 +3,none
Singer's Mantle,30,Back,All Jobs,"DEF: 2 Latent effect: ""Paeon""+1","Latent effect: ""Paeon""+1 instead of
Latent effect: Enhances ""Resist Silence"" effect"
Wyvern Mantle,30,Back,All Jobs,"DEF: 2 Latent effect: Enhances ""Jump"" effect","The Latent effect of Wyvern Mantle has been changed from +6 attack to enhances ""Jump"" effect."
Wizard's Mantle,30,Back,All Jobs,DEF: 2 Latent effect: MP recovered while healing +1,none
Ashigaru Mantle,30,Back,All Jobs,"DEF: 2 Latent effect: Enhances ""Resist Blind"" effect",none
Beater's Mantle,30,Back,All Jobs,DEF: 2 Latent effect: Increases Rapid Shot activation rate,none
Esquire's Mantle,30,Back,All Jobs,"DEF: 2 Latent effect: Enhances ""Undead Killer"" effect",none
Genin Mantle,30,Back,All Jobs,DEF: 2 Latent effect: AGI +3,"Previous stat of ""Resist Bind"" replaced with AGI +3."
Healer's Mantle,30,Back,All Jobs,"DEF: 2 Latent effect: ""Magic Def. Bonus""",none
Killer Mantle,30,Back,All Jobs,DEF: 2 Latent effect: Dark Magic Skill +5,none
Magician's Mantle,30,Back,All Jobs,DEF: 2 Latent effect: Blood Pact ability delay -2,"Latent Effect: Summoning Magic Skill +5 changed to ""Blood Pact"" ability delay-2"
Mercenary Mantle,30,Back,All Jobs,DEF: 2 Latent effect: Enmity +1,none
Midnight Cape,30,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 4 +6 Evasion +4,none
Pilferer's Mantle,30,Back,All Jobs,DEF: 2 Latent effect: Evasion +4,none
Sarcenet Cape,30,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 3 +5 Evasion +3,none
Trimmer's Mantle,30,Back,All Jobs,"DEF: 2 Latent effect: ""Charm"" +5",changed from Latent effect: Resist Slow
Warlock's Mantle,30,Back,All Jobs,"DEF: 2 Latent effect: Enhances ""Fast Cast"" effect",none
Wrestler's Mantle,30,Back,All Jobs,"DEF: 2 Latent effect: Enhances ""Martial Arts"" effect",none
Black Cape,32,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 3 INT +2,none
Black Cape +1,32,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 4 INT +3,none
Sentinel's Mantle,32,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 6 Evasion -5,none
White Cape,32,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 3 MND +2,none
White Cape +1,32,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 4 MND +3,none
High Breath Mantle,36,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5 +5 Enchantment: HP +38 Enmity +5,none
Ram Mantle,36,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5 +5,none
Ram Mantle +1,36,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5 +6,none
Cavalier's Mantle,37,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 8 VIT +2 Evasion -10,none
Cavalier's Mantle +1,37,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 9 VIT +3 Evasion -10,none
Tundra Mantle,39,Back,WHM / BLM / RDM / BRD / RNG / NIN / SMN / BLU / PUP,DEF: 4 MP +5 +5 +5,none
Resentment Cape,40,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 8 Enmity +2 In areas outside own nation's control: Magic damage taken -5%,none
Agile Mantle,40,Back,WAR / THF / RNG / SAM / NIN,DEF: 5 AGI +1 Accuracy +1,none
Earth Mantle,40,Back,WAR / PLD / DRK / BST / DRG,DEF: 6 VIT +1 +5 +5,none
Rearguard Mantle,40,Back,WHM / BLM / RDM / BRD / SMN,DEF: 4 STR +1 VIT +1,none
Lucent Cape,42,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 5 HP +7 MP +7 CHR +3,none
Red Cape +1,43,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 5 INT +3 MND +3,
Red Cape,43,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 4 INT +2 MND +2,none
Aurora Mantle,44,Back,WHM / BLM / RDM / BRD / RNG / NIN / SMN / BLU / PUP,DEF: 5 MP +10 +7 +7,none
Aurora Mantle +1,44,Back,WHM / BLM / RDM / BRD / RNG / NIN / SMN / BLU / PUP,DEF: 6 MP +12 +8 +8,none
Green Cape,45,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 4 +3 +3 +3 +3,none
Bat Cape,46,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 6 +5 Evasion +5,none
Jaguar Mantle,47,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 4 Attack +3 Evasion +1,none
Raptor Mantle,48,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR / DNC / RUN,DEF: 6 +3 -1,none
Dino Mantle,48,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 7 +4 -1,none
Dodge Cape,49,Back,WHM / BLM / RDM / BRD / SMN / BLU PUP,DEF: 4 Evasion +5,none
Volitional Mantle,49,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 6 Latent effect: VIT +10,none
Esoteric Mantle,50,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 2 MP +7 Enmity -1,none
Gramary Cape,50,Back,WHM / BLM / RDM / BRD / RNG / NIN / SMN / BLU / PUP,"DEF: 2 Magic Accuracy +1 ""Magic Def. Bonus"" +2",none
Heavy Mantle,50,Back,WAR / PLD / DRK / BST / DRG,DEF: 9,none
Skulker's Cape,50,Back,WHM / BLM / RDM / SMN / BLU,"DEF: 4 Enhances ""Invisible"" effect Enhances ""Sneak"" effect","Skulkers cape now adds a roughly 50% duration boost to sneak and invisible as in era[[1][2]]

Also seems to apply when casting sneak and invisible on other players."
Sniper's Mantle,50,Back,WAR / THF / RNG / SAM / NIN,DEF: 4 Attack +2 Ranged Attack +1,none
Storm Cape,50,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 4 MP +30 Assault: MP recovered while healing +2,none
Storm Mantle,50,Back,All Jobs,DEF: 5 HP +30 Assault: HP +75,none
Templar's Mantle,50,Back,PLD / DRK,DEF: 5 MP +20,none
Amity Cape,51,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,Enmity -3,none
Gaia Mantle,51,Back,WAR / PLD / DRK / BST / DRG,DEF: 7 VIT +1 +10 +10,none
Gaia Mantle +1,51,Back,WAR / PLD / DRK / BST / DRG,DEF: 8 VIT +2 +12 +12,none
Safety Mantle,51,Back,WAR / PLD / DRK / BST / DRG,DEF: 8 Opponent's critical hit rate -2%,none
Bellicose Mantle,52,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 3 HP -10 Attack +6,none
Lightning Mantle,53,Back,WAR / MNK / RDM / THF / PLD / DRK BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 7 +6,none
Jester's Cape,54,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 5 CHR +7,none
Jester's Cape +1,54,Back,WHM / BLM / RDM / BRD / SMN / BLU/ PUP,DEF: 6 CHR +10,none
Hi-Potion Tank,55,Back,All Jobs,DEF: 1 Dispense: Hi-Potion,
Royal Army Mantle,55,Back,All Jobs,DEF: 9 STR +2 MND +2,none
Republican Army Mantle,55,Back,All Jobs,DEF: 6 HP +6 DEX +2 VIT +2,none
Federal Army Mantle,55,Back,All Jobs,DEF: 6 MP +6 AGI +2 INT +2,none
Beak Mantle,58,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 8 VIT +1  +5,none
