Name,Level,Jobs,Stats,Horizon Changes
Swellers Harness,,All Jobs,None,
Chocobo Jack Coat,1,All Jobs,DEF: 2 Chocobo riding time +5,none
Field Tunica,1,All Jobs,"DEF: 2 Improves Mining, Logging and Harvesting results",none
Fisherman's Tunica,1,All Jobs,DEF: 2 Fishing skill +1,none
Fisherman's Apron,1,All Jobs,DEF: 4  +1  +1 Reduces chances of fishing up items,
Mithra Top +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Reduces clamming ""incidents""",
Custom Gilet +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Enchantment: ""Teleport"" (Purgonorgo Isle)",Can be stored in Mog Wardrobe 8.
Magna Top +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Enchantment: ""Teleport"" (Purgonorgo Isle)",
Wonder Top +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Enchantment: ""Teleport"" (Purgonorgo Isle)",Can be stored in Mog Wardrobe 8.
Savage Top +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Enchantment: ""Teleport"" (Purgonorgo Isle)",Can be stored in Mog Wardrobe 8.
Custom Top +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Enchantment: ""Teleport"" (Purgonorgo Isle)",Can be stored in Mog Wardrobe 8.
Hume Top,1,All Jobs,Cannot Equip Handgear DEF: 1,Can be stored in Mog Wardrobe 8.
Omina Yukata,1,All Jobs,DEF: 1,Can be stored in Mog Wardrobe 8.
Lady's Yukata,1,All Jobs,DEF: 2 Improves Goldfish-scooping ability,none
Hume Top +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Reduces clamming ""incidents""",Can be stored in Mog Wardrobe 8.
Onoko Yukata,1,All Jobs,DEF: 1,Can be stored in Mog Wardrobe 8.
Lord's Yukata,1,All Jobs,DEF: 2 Improves Goldfish-scooping ability,Can be stored in Mog Wardrobe 8.
Elder Gilet +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Enchantment: ""Teleport"" (Purgonorgo Isle)",Can be stored in Mog Wardrobe 8.
Elvaan Gilet,1,All Jobs,Cannot Equip Handgear DEF: 1,Can be stored in Mog Wardrobe 8.
Magna Gilet +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Enchantment: ""Teleport"" (Purgonorgo Isle)",Can be stored in Mog Wardrobe 8.
Wonder Maillot +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Enchantment: ""Teleport"" (Purgonorgo Isle)",Can be stored in Mog Wardrobe 8.
Tarutaru Maillot,1,All Jobs,Cannot Equip Handgear DEF: 1,Can be stored in Mog Wardrobe 8.
Tarutaru Maillot +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Reduces clamming ""incidents""",
Hardcore Shirt,1,All Jobs,DEF: 1,Cosmetic item received for achievemnts in Hardcore mode - details below.
Tarutaru Top +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Reduces clamming ""incidents""",none
Republic Aketon,1,All Jobs,DEF: 1 Increases chances of obtaining crystals In Bastok: Movement speed +12%,none
Federation Aketon,1,All Jobs,DEF: 1 Increases chances of obtaining crystals In Windurst: Movement speed +12%,Is a required item in the quest Omni Aketon.
Kingdom Aketon,1,All Jobs,DEF: 1 Increases chances of obtaining crystals In San d'Oria: Movement speed +12%,Is a required item in the quest Omni Aketon.
Dream Robe,1,All Jobs,DEF: 2,
Dream Robe +1,1,All Jobs,DEF: 3 Enhances the effect of Selbina milk,
Mandragora Suit,1,All Jobs,"Cannot Equip Leggear DEF: 1 Enchantment: ""Teleport"" (Home Nation)",
