Name,Level,Damage,Delay,DPS,Description,Jobs
Ash Club,1,4,264,0.91,,All Jobs
Ash Club +1,1,5,257,1.17,,All Jobs
Caduceus,1,3,216,0.83,"Alchemy skill +1
Additional effect vs. arcana: ""Bind""",All Jobs
Charm Wand,1,2,264,0.45,"Enchantment:
""Reraise"" on party member
(Cannot target self)
<10/10 0:30/[:00:00, 0:30]>",All Jobs
Charm Wand +1,1,3,264,0.68,"Enchantment:
""Reraise"" on party member
(Cannot target self)
<1/1 0:30/[:00:00, 0:30]>",All Jobs
Chocobo Wand,1,3,216,0.83,Extends chocobo riding time,All Jobs
Citrullus Mallet,1,1,288,0.21,"Enchantment: Costume
<1/1 0:30/[1:00:00, 0:30]>",All Jobs
Club Hammer,1,1,300,0.2,VIT-1,All Jobs
Dream Bell,1,1,216,0.28,,All Jobs
Dream Bell +1,1,2,210,0.57,Singing skill +1,All Jobs
Feline Hagoita,1,2,264,0.45,,All Jobs
Feline Hagoita +1,1,3,257,0.7,"""Double Attack""+5%
Additional effect: Flash",All Jobs
Floral Hagoita,1,2,264,0.45,,All Jobs
G. Spriggan Club,1,1,288,0.21,,All Jobs
Gobbie Gavel,1,1,288,0.21,"Enchantment: Costume
<1/1 0:30/[1:00:00, 0:30]>",All Jobs
Hagoita,1,2,264,0.45,"Dispense: Ichinintousen Koma
<1/1 0:30/[:00:00, 0:30]>",All Jobs
Heartbeater,1,1,264,0.23,,All Jobs
Heartbeater +1,1,2,257,0.47,"Enchantment:
""Synthesis Support""
<1/1 0:30/[:00:00, 0:30]>",All Jobs
Heartstopper,1,1,288,0.21,,All Jobs
Heartstopper +1,1,2,280,0.43,"Enchantment: Costume
<1/1 0:30/[1:00:00, 0:30]>",All Jobs
Jingly Rod,1,1,216,0.28,,All Jobs
Jingly Rod +1,1,2,210,0.57,"Enchantment: Costume
<1/1 0:30/[1:00:00, 0:30]>",All Jobs
Kitty Rod,1,1,288,0.21,"Enchantment: Costume
<1/1 0:30/[1:00:00, 0:30]>",All Jobs
Korrigan Mallet,1,1,288,0.21,"Enchantment: Costume
<1/1 0:30/[1:00:00, 0:30]>",All Jobs
Kupo Rod,1,1,288,0.21,"Enchantment: Moogle Blessing
<1/1 0:30/[20:00:00, 0:30]>",All Jobs
Kyuka Uchiwa,1,1,216,0.28,,All Jobs
Kyuka Uchiwa +1,1,2,210,0.57,"Fire weather:
Occasionally attacks twice or thrice",All Jobs
Lady Bell,1,1,216,0.28,,All Jobs
Lady Bell +1,1,2,210,0.57,,All Jobs
Leafkin Bopper,1,1,288,0.21,,All Jobs
Leafkin Bopper +1,1,2,280,0.43,"Dispense: Leafkin Grenade
<1/1 0:30/[:00:00, 0:30]>",All Jobs
