Name,Level,Damage,Delay,DPS,Description,Jobs
Aern Dagger,1,1,180,0.33,,All Jobs
Aern Dagger II,1,1,180,0.33,,All Jobs
Bronze Dagger,1,3,183,0.98,,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / SAM / NIN / DRG /
SMN"
Bronze Dagger +1,1,4,178,1.35,,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / SAM / NIN / DRG /
SMN"
Bronze Knife,1,5,195,1.23,,"WAR / THF / PLD / DRK / BRD / RNG /
SAM / NIN / DRG / COR / PUP"
Bronze Knife +1,1,6,189,1.59,,"WAR / THF / PLD / DRK / BRD / RNG /
SAM / NIN / DRG / COR / PUP"
Ceremonial Dagger,1,1,183,0.33,MP+10,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / SAM / NIN / DRG /
SMN"
Chicken Knife II,1,1,200,0.3,,All Jobs
Esikuva,1,1,180,0.33,,All Jobs
Infiltrator,1,1,999,0.06,,All Jobs
Norgish Dagger,1,1,180,0.33,,All Jobs
Onion Dagger,1,3,193,0.93,,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / SAM / NIN / DRG /
SMN"
Onion Knife,1,5,205,1.17,,"WAR / THF / PLD / DRK / BRD / RNG /
SAM / NIN / DRG / COR / PUP"
Qutrub Knife,1,1,180,0.33,,All Jobs
Rusty Dagger,1,3,183,0.98,,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / SAM / NIN / DRG /
SMN"
Trainee Knife,1,1,200,0.3,Latent effect: Cooking skill +1,All Jobs
Trainee's Needle,1,1,200,0.3,"Latent effect:
Leathercraft skill +1",All Jobs
Wind Knife,1,1,195,0.31,,All Jobs
Wind Knife +1,1,2,189,0.63,"Additional effect: Wind damage
Enchantment: ""Aero""
<1/1 0:30/[10:00, 0:30]>",All Jobs
Beestinger,7,5,150,2,DEX+1 AGI+1,RDM / THF / BRD / RNG / NIN
Blind Dagger,7,4,188,1.28,Additional effect: Blindness,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / SAM / NIN / DRG /
SMN"
Blind Dagger +1,7,5,183,1.64,Additional effect: Blindness,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / SAM / NIN / DRG /
SMN"
Blind Knife,7,5,201,1.19,Additional effect: Blindness,"WAR / THF / PLD / DRK / BRD / RNG /
SAM / NIN / DRG / COR / PUP"
Blind Knife +1,7,6,195,1.54,Additional effect: Blindness,"WAR / THF / PLD / DRK / BRD / RNG /
SAM / NIN / DRG / COR / PUP"
Brass Dagger,9,5,183,1.64,,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / SAM / NIN / DRG /
SMN"
