Name,Level,Jobs,Stats,Horizon Changes
Cassie Earring,1,All Jobs,DEF: 2 STR +1 VIT +1 Converts 50 MP to HP,none
Tourmaline Earring,10,All Jobs,4,
Amber Earring,10,All Jobs,4,none
Amethyst Earring,10,All Jobs,4,none
Balance Earring,10,All Jobs,6,none
Balance Earring +1,10,All Jobs,DEF: 1 +4 +4,none
Clear Earring,10,All Jobs,4,none
Courage Earring,10,All Jobs,6,none
Courage Earring +1,10,All Jobs,DEF: 1 +4 +4,none
Energy Earring,10,All Jobs,MP +3 +3,none
Energy Earring +1,10,All Jobs,DEF: 1 MP +4 +4,none
Hope Earring,10,All Jobs,HP +3+3,none
Hope Earring +1,10,All Jobs,DEF: 1 HP +4 +4,none
Knowledge Earring,10,All Jobs,6,none
Knowledge Earring +1,10,All Jobs,DEF: 1 +4 +4,none
Lapis Lazuli Earring,10,All Jobs,4,none
Onyx Earring,10,All Jobs,MP +2+2,none
Opal Earring,10,All Jobs,HP +2+2,none
Physical Earring,10,All Jobs,Converts 25 MP to HP,none
Reflex Earring,10,All Jobs,6,none
Reflex Earring +1,10,All Jobs,DEF: 1 +4 +4,none
Sardonyx Earring,10,All Jobs,4,none
Stamina Earring,10,All Jobs,6,none
Stamina Earring +1,10,All Jobs,DEF: 1 +4 +4,none
Tranquility Earring,10,All Jobs,6,none
Tranquility Earring +1,10,All Jobs,DEF: 1 +4 +4,none
Shell Earring,11,All Jobs,2,none
Shell Earring +1,11,All Jobs,4,none
Silver Earring,14,All Jobs,Attack -1Evasion +1,none
Silver Earring +1,14,All Jobs,Attack -2Evasion +2,none
Bone Earring,16,All Jobs,Attack +1 Evasion -1,none
Bone Earring +1,16,All Jobs,Attack +2 Evasion -1,none
Valor Earring,17,All Jobs,HP +3 MP +3,none
Mecurial Earring,20,All Jobs,DEF: 1 Garrison: Evasion +1~,none
Shield Earring,20,All Jobs,HP +10 MP -10,none
Beetle Earring,21,All Jobs,Attack +2 Evasion -2,none
Beetle Earring +1,21,All Jobs,Attack +3 Evasion -2,none
Mythril Earring,24,All Jobs,Attack -2 Evasion +2,none
Reraise Earring,24,All Jobs,"Attack -2 Evasion +2 Enchantment: ""Reraise""",none
Twinstone Earring,24,All Jobs,-4 +4,none
Mythril Earring +1,24,All Jobs,Attack -3 Evasion +3,none
