Name,Level,Jobs,Stats,Horizon Changes
Alliance Boots,,All Jobs,None,
Ash Clogs,1,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 1,none
Ash Clogs +1,1,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 2,none
Bronze Leggings,1,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 1,none
Bronze Leggings +1,1,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 2,none
Chocobo Boots,1,All Jobs,DEF: 1 Chocobo Riding Time +3,none
Dream Boots,1,All Jobs,DEF: 1,
Dream Boots +1,1,All Jobs,"DEF: 2 Enhances ""Sneak"" effect Enchantment: ""Sneak""",
Elvaan F Ledelsens,1,All Jobs,DEF: 1,none
Field Boots,1,All Jobs,DEF: 1 Improves Mining and Harvesting results,none
Fisherman's Boots,1,All Jobs,DEF: 1 Fishing skill +1,none
Galkan Sandals,1,All Jobs,DEF: 1,none
Hardcore Boots,1,All Jobs,DEF: 1,Cosmetic item received for achievemnts in Hardcore mode - details below.
Hume F Boots,1,All Jobs,DEF: 1,none
Hume M Boots,1,All Jobs,DEF: 1,none
Mithran Gaiters,1,All Jobs,DEF: 1,none
Rusty Leggings,1,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,None,
Tarutaru Clomps,1,All Jobs,DEF: 1,none
Vagabond's Boots,1,All Jobs,DEF: 1 HP recovered while healing +1,none
Waders,1,All Jobs,DEF: 2 +1 Fishing skill +2,none
Coarse Leggings,6,WAR / PLD / DRK,DEF: 5 Evasion -3,none
Bounding Boots,7,WAR / RDM / THF / PLD / DRK / BST /BRD /RNG / SAM / NIN / DRG / BLU / COR,DEF: 3 DEX +3 AGI +3,Obtainable via BCNM and not from Leaping Lizzy.
Leaping Boots,7,WAR / RDM / THF / PLD / DRK / BST /BRD /RNG / SAM / NIN / DRG / BLU / COR,DEF: 3 DEX +3 AGI +3,Obtainable from Leaping Lizzy and not the BCNM Petrifying Pair.
Leather Highboots,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 2,none
Leather Highboots +1,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 3,none
Kyahan,8,MNK / SAM / NIN,DEF: 2,none
Kyahan +1,8,MNK / SAM / NIN,DEF: 3,none
Solea,8,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 2,none
Solea +1,8,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 3,none
Legionnaire's Leggings,10,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 2 +3 +3,none
Royal Footman's Boots,10,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 3 +3 +3,none
Scale Greaves,10,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 3,none
Solid Greaves,10,WAR / RDM / PLD / DRK / BST / RNG SAM / DRG / BLU,DEF: 4,none
Brass Leggings,11,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 3,none
Brass Leggings +1,11,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 4,none
Gaiters,11,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 3,none
Gaiters +1,11,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 4,none
Holly Clogs,12,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR,DEF: 3,none
Holly Clogs +1,12,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR,DEF: 4,none
Light Soleas,13,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 4 Evasion +3,
Angler's Boots,15,All Jobs,DEF: 3 Fishing skill +1,Hidden Effect: Full set supposed to give a small bonus to number of gold arrows seen while fishing
Anu's Gaiters,15,WHM / BRD / SMN,DEF: 3 MP +1%,none
Bastokan Leggings,15,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 3 HP +2 MP +2 +3 +3,none
Enyo's Leggings,15,WAR / PLD / DRK / DRG,DEF: 4 VIT +1,none
Hoshikazu Kyahan,15,MNK / SAM / NIN / PUP,DEF: 4 Attack +1,none
Kingdom Boots,15,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5 HP +6 +3 +3,none
Nemain's Sabots,15,BLM / RDM / BLU,DEF: 3 MP +1,none
Njord's Ledelsens,15,THF / BST / RNG / COR,DEF: 4 Accuracy +1,none
Nomad's Boots,15,All Jobs,DEF: 3 HP recovered while healing +1,none
Republic Leggings,15,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD/ SAM / NIN / DRG / BLU / COR,DEF: 4 HP +3 MP +3 +3 +3,none
Rider's Boots,15,All Jobs,DEF: 3 Chocobo riding time +3,
San d'Orian Boots,15,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 4 HP +4 +3 +3,none
Worker Boots,15,All Jobs,DEF: 3 Improves Mining and Harvesting results,none
Bone Leggings,16,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 4,none
Bone Leggings +1,16,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 5 -3 Evasion +1,none
Fine Ledelsens,17,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5,none
Lizard Ledelsens,17,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 4,none
Cotton Kyahan,18,MNK / SAM / NIN,DEF: 4,none
Cotton Kyahan +1,18,MNK / SAM / NIN,DEF: 5,none
Garrison Boots,18,All Jobs,DEF: 4 INT +1 MND +1,none
Power Sandals,18,All Jobs,DEF: 3 VIT +3  +7,none
Baron's Pigaches,20,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 5 MP +3,none
Mage's Sandals,20,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 5 MP +3 AGI +1,none
Mercenary's Kyahan,20,MNK / SAM / NIN,DEF: 4 +6,none
Royal Footman's Clogs,20,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 5 AGI +1,none
Sandals,20,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 4,none
Strider Boots,20,THF / RNG,DEF: 4 AGI 2 Movement speed +12%,Obtainable from Simurgh and from the KSNM The Hills Are Alive.
Trader's Pigaches,20,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 4,none
Trotter Boots,20,THF / RNGStrider Boots,DEF: 4 AGI +2 Movement Speed +12%,Trotter Boots can now be obtained via HorizonXI's custom Hyper Empty Notorious Monsters (HENM).
Beetle Leggings,21,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 5,none
Beetle Leggings +1,21,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 6 -3 Evasion +1,none
Stumbling Sandals,22,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 4 DEX -10 AGI -10,none
Cotton Gaiters,23,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 5,none
Great Gaiters,23,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 6,none
Greaves,24,WAR / PLD / DRK / BST / SAM / NIN,DEF: 6,none
Greaves +1,24,WAR / PLD / DRK / BST / SAM / NIN,DEF: 7,none
Winged Boots,24,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5 DEX +3 AGI +3,none
Winged Boots +1,24,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 6 DEX +3 AGI +3,none
Bodb's Pigaches,25,BLM / RDM / BLU,DEF: 4 MP +1 STR +1,none
Ea's Crackows,25,WHM / BRD / SMN,DEF: 4 MP +1% MND +1,none
Federation Kyahan,25,MNK / SAM / NIN,DEF: 6  +6 Attack +4 Ranged Attack +4,none
Freyr's Ledelsens,25,THF / BST / RNG / COR,DEF: 5 VIT +1 Accuracy +1,none
Kingdom Clogs,25,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 7 HP +4 MP +4 AGI +1,none
Phobos's Sabatons,25,WAR / PLD / DRK / DRG,DEF: 6 VIT +1 AGI +1,none
San d'Orian Clogs,25,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 6 HP +3 MP +3 AGI +1,none
Shade Leggings,25,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,"DEF: 6 ""Empty Killer""",none
Shade Leggings +1,25,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,"DEF: 7 Evasion +1 ""Empty Killer""",none
