Name,Level,Damage,Delay,DPS,Description,Jobs
Ark Tachi,1,1,999,0.06,"Enchantment: Costume
<1/1 0:30/[1:00:00, 0:30]>",All Jobs
Hardwood Katana,1,5,450,0.67,,All Jobs
Lotus Katana,1,1,280,0.21,,All Jobs
Melon Slicer,1,1,450,0.13,Tachi: Suikawari,All Jobs
Mumeito,1,12,420,1.71,,SAM
Mutsunokami,1,1,450,0.13,,All Jobs
Mutsunokami +1,1,2,437,0.27,Evasion+20,All Jobs
Shinai,1,2,480,0.25,Fellow: STR+4 DEX+4,All Jobs
Wooden Katana,1,1,450,0.13,,All Jobs
Zanmato,1,1,464,0.13,,All Jobs
Zanmato +1,1,2,450,0.27,"Additional effect: ""Dispel""",All Jobs
Tachi,8,21,450,2.8,,SAM
Tachi +1,8,22,437,3.02,,SAM
Katayama,10,28,450,3.73,STR+1 DEX+1,SAM
Uchigatana,12,24,420,3.43,,SAM / NIN
Uchigatana +1,12,25,407,3.69,,SAM / NIN
Nodachi,16,30,450,4,,SAM
Nodachi +1,16,31,437,4.26,,SAM
Gunromaru,20,33,450,4.4,,SAM
Okanehira,23,38,450,5.07,,SAM
Kanesada,26,36,420,5.14,,SAM / NIN
Kotetsu,27,40,450,5.33,,SAM
Homura,34,47,463,6.09,Additional effect: Fire damage,SAM
Homura +1,34,48,450,6.4,Additional effect: Fire damage,SAM
Koen,34,47,463,6.09,"Additional effect: Fire damage
Enchantment: ""Enfire""
<30/30 0:30/[5:00, 0:30]>",SAM
Ashura,36,45,420,6.43,,SAM / NIN
Ashura +1,36,46,407,6.78,,SAM / NIN
Hosodachi,37,51,428,7.15,,SAM
Hosodachi +1,37,52,414,7.54,,SAM
Tsurugitachi,37,51,428,7.15,"Enchantment: TP+100
<100/100 0:30/[10:00, 0:30]>",SAM
Kagehide,40,54,420,7.71,VIT+2,SAM
Magoroku,40,56,450,7.47,STR+1 AGI+1,SAM
Mikazuki,44,58,450,7.73,,SAM
Mikazuki +1,44,59,437,8.1,,SAM
Odenta,48,63,450,8.4,,SAM
Koryukagemitsu,50,67,450,8.93,STR+1 Accuracy+2,SAM
Soboro Sukehiro,50,40,450,5.33,Occasionally attacks 2 to 3 times,SAM
Kiku-Ichimonji,51,66,450,8.8,,SAM
Jindachi,54,69,450,9.2,,SAM
Jindachi +1,54,70,437,9.61,,SAM
Dotanuki,55,65,420,9.29,Additional effect: Impairs evasion,SAM / NIN
Raikiri,56,69,437,9.47,"Accuracy+3
Decreases movement speed
Thunder: Attack+10",SAM
Amakura,57,71,450,9.47,"Latent effect: ""Store TP""+10",SAM
Daihannya,59,72,450,9.6,STR+3,SAM
Gld.Msk. Uchigat.,60,66,399,9.92,"Accuracy+4
Attack+4
Additional effect: Earth damage",SAM / NIN
Omokage,60,66,420,9.43,"DEX+4
""Store TP""+2",SAM
Zanbato,61,73,464,9.44,,SAM
Zanbato +1,61,74,450,9.87,,SAM
Kanesada +1,63,68,420,9.71,,SAM / NIN
Shinkanesada,63,69,407,10.17,,SAM / NIN
Onikiri,65,74,450,9.87,Vs. Demons: Critical hit rate +5%,SAM
Sukesada,66,69,399,10.38,"Attack+7
""Double Attack""+1%",SAM / NIN
Kazaridachi,67,76,450,10.13,CHR+2,SAM
Kazaridachi +1,67,77,437,10.57,CHR+3,SAM
Messhikimaru,67,76,450,10.13,"CHR+2
Enchantment: ""Arcana Killer""
<30/30 0:30/[10:00, 0:30]>",SAM
