Name,Level,Jobs,Stats,Horizon Changes
Bronze Mittens,1,WAR / MNK / RDM / THF / PLD / DRK / BST BRD / SAM / NIN / DRG / BLU / COR,DEF: 1,none
Bronze Mittens +1,1,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 2,none
Carpenter's Gloves,1,All Jobs,DEF: 2 +1 Woodworking skill +1,none
Chocobo Gloves,1,All Jobs,DEF: 1 Chocobo riding time +3,none
Cuffs,1,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 1,none
Cuffs +1,1,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 2,none
Dream Mittens,1,All Jobs,DEF: 1,
Dream Mittens +1,1,All Jobs,"DEF: 2 Enhances ""Invisible"" effect Enchantment: ""Invisible""",
Elvaan Gauntlets,1,All Jobs,DEF: 1,none
Elvaan Gloves,1,All Jobs,DEF: 1,none
Field Gloves,1,All Jobs,DEF: 1 Improves Mining and Logging results,none
Fisherman's Gloves,1,All Jobs,DEF: 1 Fishing skill +1,none
Galkan Bracers,1,All Jobs,DEF: 1,none
Hume F Gloves,1,All Jobs,DEF: 1,none
Hume M Gloves,1,All Jobs,DEF: 1,none
Mithran Gauntlets,1,All Jobs,DEF: 1,none
Tanner's Gloves,1,All Jobs,DEF: 2 +1 Leathercraft skill +1,none
Tarutaru Mitts,1,All Jobs,DEF: 1,none
Vagabond's Gloves,1,All Jobs,DEF: 1 HP recovered while healing +1,none
Asbestos Mitts,6,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 2 +1 +1,none
Leather Gloves,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 2,none
Leather Gloves +1,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 3,none
Mitts,8,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 2,
Mitts +1,8,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 3,none
Tekko,8,MNK / SAM / NIN,DEF: 2,none
Tekko +1,8,MNK / SAM / NIN,DEF: 3,none
Coarse Gauntlets,9,WAR / PLD / DRK,DEF: 5 Evasion -3,none
Legionnaire's Mittens,10,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 3 Attack +3,none
Royal Footman's Gloves,10,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 3 Attack +3,none
Scale Finger Gauntlets,10,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 3,none
Solid Finger Gauntlets,10,WAR / RDM / PLD / DRK / BST / RNG SAM / DRG / BLU,DEF: 4,none
Brass Mittens,11,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 3,none
Brass Mittens +1,11,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 4,none
Gloves,11,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 3,none
Gloves +1,11,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 4,none
Zealot's Mitts,11,MNK / WHM / BLM / RDM / PLD / BRD / SMN/ BLU / PUP,DEF: 3 MP +5 INT -2 MND 3,none
Linen Cuffs,12,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 3,none
Linen Cuffs +1,12,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 4 STR +1 +3,none
Battle Gloves,14,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 4 Accuracy +3 Evasion +3,none
Angler's Gloves,15,All Jobs,DEF: 3 Fishing skill +1,Hidden Effect: Full set supposed to give a small bonus to number of gold arrows seen while fishing
Anu's Gages,15,WHM / BRD / SMN,DEF: 3 MND +1,none
Bastokan Mittens,15,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 4 HP +2 MP +2 Attack +3,none
Enyo's Gauntlets,15,WAR / PLD / DRK / DRG,DEF: 4 STR +1,none
Hoshikazu Tekko,15,MNK / SAM / NIN / PUP,DEF: 4 Accuracy +1,none
Kingdom Gloves,15,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5 HP +6 Attack +3,none
Nemain's Cuffs,15,BLM / RDM / BLU,DEF: 3 MP +1,none
Njord's Gloves,15,THF / BST / RNG / COR,DEF: 4 Ranged Attack +1,none
Nomad's Gloves,15,All Jobs,DEF: 3 HP recovered while healing +1,none
Republic Mittens,15,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 5 HP +3 MP +3 Attack +3,none
Rider's Gloves,15,All Jobs,DEF: 3 Chocobo riding time +3,none
San d'Orian Gloves,15,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 4 HP +4 Attack +3,none
Worker Gloves,15,All Jobs,DEF: 3 Improves Mining and Logging results,none
Bone Mittens,16,WAR / MNK / RDM / THF / PLD / DRK BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 4,none
Bone Mittens +1,16,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 5 -3 Evasion +1,none
Scentless Armlets,16,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 4 Evasion +5,none
Fine Gloves,17,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 6,none
