Name,Level,Jobs,Stats,Horizon Changes
Laurel Crown,1,All Jobs,A crown to signify great acomplishments as a hardcore adventurer.,Cosmetic item received for achievemnts in Hardcore mode - details below.
Skormoth Mask,1,All Jobs,None,
Boudox's Masque,1,All Jobs,None,Drops from Goblin Delver NM on HorizonXI
Bronze Cap,1,WAR / MNK / RDM / THF / PLD / DRK / BST BRD / SAM / NIN / DRG / BLU / COR,DEF: 2,none
Bronze Cap +1,1,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 3,none
Cache-nez,1,All Jobs,DEF: 2 Enmity +2,none
Carbie Cap,1,All Jobs,DEF: 1,none
Charity Cap,1,All Jobs,None,OOE Item that was added as cosmetic reward for users that reported bugs.
Chef's Hat,1,All Jobs,"DEF: 1 Enhances ""Resist Poison"" effect Cooking skill +1",
Circlet,1,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR,DEF: 1,none
Circlet +1,1,MNK / WHM / BLM / RDM / THF / DRK BRD / RNG / SMN / BLU / COR / PUP,DEF: 2,none
Copper Hairpin,1,All Jobs,HP -2 MP +5,none
Copper Hairpin +1,1,All Jobs,HP -2 MP +6,none
Coven Hat,1,All Jobs,DEF: 2 Latent effect: HP +3% MP +3%,none
Dream Hat,1,All Jobs,DEF: 1,
Dream Hat +1,1,All Jobs,DEF: 1 Dispense: Ginger Cookie,
Egg Helm,1,All Jobs,DEF: 1 Chocobo Digging Bonus,
Goblin Masque,1,All Jobs,DEF: 1,This item wasn't available until 2016.
Hardcore Mask,1,All Jobs,DEF: 1,Cosmetic item received for achievemnts in Hardcore mode - details below.
Horror Head,1,All Jobs,Full Moon + Darksday + Nighttime: Enmity -50,none
Horror Head II,1,All Jobs,New Moon + Lightsday + Daytime: Enmity +50,none
Judge's Helm,1,All Jobs,DEF: 50 GMs Only,none
Korrigan Beret,1,All Jobs,"Enchanctment: ""Costume""",This is a custom Horizon XI item
Magnifying Spectacles,1,All Jobs,DEF: 1 +1 Clothcraft skill +1,none
Mandragora Masque,1,All Jobs,DEF: 1,
Protective Spectacles,1,All Jobs,DEF: 1 +1 Bonecraft skill +1,none
Pumpkin Head,1,All Jobs,Enmity -1,none
Pumpkin Head II,1,All Jobs,Enmity +1,none
Rabbit Cap,1,All Jobs,Dispense: Initial Egg,
Shaded Spectacles,1,All Jobs,DEF: 1 +1 Goldsmithing skill +1,none
Snowman Cap,1,All Jobs,DEF: 1 -12 +12 Enchantment: Costume,Enchantment turns you into a rainbow treasure chest instead of a snoll
Spelunker's Helm,1,All Jobs,VIT -1,Drops from Goblin Delver NM on HorizonXI
Tavnazian Mask,1,All Jobs,None,none
Tinfoil Hat,1,All Jobs,"DEF: 1 Enhances ""Treasure Hunter"" ??? Enchanctment: ""Teleport"" (Burning Circle)","This is a custom Horizon XI item. Enchantment: ""Teleport"" (Burning Circle) provides to the following teleportation upon use:Bastok / Gustaberg -> Waughroon Shrine
San d'Oria / Ronfaure -> Horlais Peak
Windurst / Sarutabaruta -> Balga's Dais
Beaucedine Glacier / Xarcabard -> Qu'Bia Arena


*please note that in order to be teleported in a BCNM arena, the character you are using needs to have been there at least once.*"
Windshear Hat,4,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 2 +1,none
Bone Hairpin,5,All Jobs,HP -1 MP +3 +2,none
Bone Hairpin +1,5,All Jobs,HP -1 MP +4 +3,
Eldritch Bone Hairpin,5,All Jobs,HP -1 MP +3 +2 Enchantment: INT +2 MND +2,none
Traveler's Hat,6,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN/ BLU / COR / PUP,DEF: 3 MND +1,
Leather Bandana,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 3,none
Leather Bandana +1,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 4,none
Hachimaki,8,MNK / SAM / NIN,DEF: 4,none
Hachimaki +1,8,MNK / SAM / NIN,DEF: 5,none
Compound Eye Circlet,9,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 4 Evasion +5,none
Brass Hairpin,10,All Jobs,HP -4 MP +10,none
Brass Hairpin +1,10,All Jobs,HP -4 MP +11,none
Faceguard,10,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 5,none
Faceguard +1,10,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 6,none
Legionnaire's Cap,10,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 5 INT +1,none
Royal Footman's Bandana,10,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5 AGI +1,none
Brass Cap,11,WAR / MNK / RDM / THF / PLD / DRK / BRD / BST / SAM / NIN / DRG/ BLU / COR,DEF: 5,none
Brass Cap +1,11,WAR / MNK / RDM / THF / PLD / DRK / BRD / BST / SAM / NIN / DRG/ BLU / COR,DEF: 6,none
Entrancing Ribbon,11,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 5 CHR +2,
Headgear,11,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 5,none
Headgear +1,11,MNK / WHM / RDM / THF / PLD / BST BRD / DRG / SMN / BLU / COR / PUP,DEF: 6,none
Monk's Headgear,11,MNK,DEF: 5 VIT +2,none
Poet's Circlet,12,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP</span,DEF: 5,none
Sage's Circlet,12,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 6 INT +1,none
Cotton Headband,14,All Jobs,DEF: 3 Evasion +3,none
Erudite's Headband,14,All Jobs,DEF: 4 INT +1 Evasion +3,none
Fungus Hat,14,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 6 +5 +5,none
Noble's Ribbon,14,All Jobs,CHR +3 +3 +3 +3 +3 +3 +3 +3 +3,none
Scarlet Ribbon,14,All Jobs,16,none
Shell Hairpin,14,All Jobs,HP -3 MP +9 +6,
Shell Hairpin +1,14,All Jobs,HP -3 MP +10 +7,
Anu's Tiara,15,WHM / BRD / SMN,DEF: 3 MP +1%,none
Bastokan Cap,15,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 6 HP +2 MP +2 INT +1,none
Enyo's Mask,15,WAR / PLD / DRK / DRG,DEF: 6 Accuracy +1,none
Hoshikazu Hachimaki,15,MNK / SAM / NIN / PUP,DEF: 5 AGI +1,none
Kingdom Bandana,15,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 7 HP +6 AGI +1,none
Nemain's Crown,15,BLM / RDM / BLU,DEF: 3 MP +1,none
Njord's Mask,15,THF / BST / RNG / COR,DEF: 4 Ranged Attack +1,none
Republic Cap,15,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 7 HP +3 MP +3 INT +1,none
San d'Orian Bandana,15,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 6 HP +4 AGI +1,none
Bone Mask,16,WAR / MNK / RDM / THF / PLD / DRK BRD / BST / SAM / NIN / DRG/ BLU / COR,DEF: 7,
Bone Mask +1,16,WAR / MNK / RDM / THF / PLD / DRK BRD / BST / SAM / NIN / DRG/ BLU / COR,DEF: 8 Evasion +1 -3,none
Lizard Helm,17,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 7,none
Lizard Helm +1,17,WAR / RDM / THF / PLD / DRK / BST BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 8,none
Bonze's Circlet,18,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 7 MP +2,none
Cotton Hachimaki,18,MNK / SAM / NIN,DEF: 7,none
Cotton Hachimaki +1,18,MNK / SAM / NIN,DEF: 8,none
Garrison Sallet,19,All Jobs,DEF: +5 MND +1 CHR +1,none
Baron's Chapeau,20,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 8 INT +2 Enmity +2,none
Blissful Chapeau,20,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 7 Enchantment: Recover MP,none
Mercenary's Hachimaki,20,MNK / SAM / NIN,DEF: 8 STR +1,none
Silver Hairpin,20,All Jobs,HP -6 MP +15,none
Silver Hairpin +1,20,All Jobs,HP -6 MP +16,none
Trader's Chapeau,20,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 7,none
Trump Crown,20,All Jobs,DEF: 10 HP +14~ MP +14~ CHR +2,none
Beetle Mask,21,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 9,none
Beetle Mask +1,21,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 10 -3 Evasion +1,none
Shepherd's Bonnet,21,BST / DRG / SMN / PUP,DEF: 7 HP +4 Pet: Accuracy +5 Magic Accuracy +3,This is a custom Horizon item.
Cotton Headgear,23,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 9,none
Great Headgear,23,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 10,none
Emperor Hairpin,24,All Jobs,HP -15 DEX +3 AGI +3 Evasion +10,Obtainable from Valkurm Emperor and not via the BCNM Dropping Like Flies.
Empress Hairpin,24,All Jobs,HP -15 DEX +3 AGI +3 Evasion +10,Obtainable via BCNM and not from Valkurm Emperor.
Iron Mask,24,WAR / PLD / DRK / BST / SAM / NIN,DEF: 11,none
Iron Mask +1,24,WAR / PLD / DRK / BST / SAM / NIN,DEF: 12,none
Bodb's Crown,25,BLM / RDM / BLU,DEF: 7 MP +1 INT +1,none
Ea's Tiara,25,WHM / BRD / SMN,DEF: 8 MP +1% MND +1,none
Federation Hachimaki,25,MNK / SAM / NIN,DEF: 10 HP +4 MP +4 STR +1,none
Freyr's Mask,25,THF / BST / RNG / COR,DEF: 9 AGI +1 Ranged Attack +1,none
Phobos's Mask,25,WAR / PLD / DRK / DRG,DEF: 11 Accuracy +1 Attack +1,none
Shade Tiara,25,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,"DEF: 10 ""Empty Killer""",none
Shade Tiara +1,25,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,"DEF: 11 Evasion +1 ""Empty Killer""",none
Tsukikazu Jinpachi,25,MNK / SAM / NIN / PUP,DEF: 10 AGI +1 Accuracy +1,none
Windurstian Hachimaki,25,MNK / SAM / NIN,DEF: 9 HP +3 MP +3 STR +1,none
Dodge Headband,26,All Jobs,DEF: 5 Evasion +3,none
Brass Mask,27,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 11,none
Brass Mask +1,27,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 12,none
Wool Hat,28,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 9,none
Wool Hat +1,28,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 10,none
Eisenschaller,29,WAR / PLD,DEF: 13 AGI +1,none
Kampfschaller,29,WAR / PLD,DEF: 14 AGI +2,none
Seer's Crown,29,WHM / BLM / SMN / PUP,DEF: 4 INT +2,none
Seer's Crown +1,29,WHM / BLM / SMN / PUP,DEF: 5 INT +3,none
Soil Hachimaki,29,MNK / SAM / NIN,DEF: 10  +1  +1,none
Soil Hachimaki +1,29,MNK / SAM / NIN,DEF: 11  +2  +2,none
Centurion's Visor,30,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 12 DEX +1,none
Circe's Hat,30,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 8 MP +6 MND +2,none
Dandy Spectacles,30,All Jobs,Accuracy +2 Nighttime: Accuracy -20,none
Eldritch Horn Hairpin,30,All Jobs,HP -4 MP +12 +8 Enchantment: INT +3 MND +3,none
Fancy Spectacles,30,All Jobs,Accuracy +3 Nighttime: Accuracy -30,none
Garish Crown,30,MNK / RDM / PLD / BRD / RNG / BLU,DEF: 11 On Earthsdays: Evasion +2,none
Horn Hairpin,30,All Jobs,HP -4 MP +12 +8,none
Horn Hairpin +1,30,All Jobs,HP -4 MP +13 +9,none
Legionnaire's Circlet,30,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 10 MP +5 MND +1  +4  +4,"MP +5
MND +1"
Mercenary Captain's Headgear,30,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 10 STR +1 DEX +1,none
Mist Crown,30,MNK / RDM / PLD / BRD / RNG / BLU,DEF: 11 On Earthsdays: Evasion +2 Enchantment: Evasion Boost,none
Noct Beret,30,THF / RNG / COR,DEF: 9 AGI +1  +1,none
Noct Beret +1,30,THF / RNG / COR,DEF: 10 AGI +2  +2,none
Royal Squire's Helm,30,WAR / PLD / DRK / BST / SAM / NIN,DEF: 12 AGI +1,none
Rubious Crown,30,MNK / RDM / PLD / BRD / RNG / BLU,DEF: 12 On Earthsdays or Windsdays: Evasion +2,none
Strong Bandana,30,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 12,none
Studded Bandana,30,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 11,none
Kosshin,32,All Jobs,HP +20 MP +20,none
Bastokan Circlet,34,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,"DEF: 11 +4 +4 In areas under own nation's control: ""Magic Atk. Bonus"" +3",none
Bastokan Visor,34,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 13 DEX +1 In areas under own nation's control: HP +5 MP +5,none
Federation Headgear,34,MNK / WHM / RDM / THF / PLD / BST BRD / DRG / SMN / BLU / COR / PUP,DEF: 12 STR +1 DEX +1 In areas under own nation's control: MP +12,none
Kingdom Helm,34,WAR / PLD / DRK / BST / SAM / NIN,DEF: 14 AGI +1 In areas under own nation's control: HP +12,none
Marine Hat,34,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 11 +7 -7 +7,none
Republic Circlet,34,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,"DEF: 12 +4 +4 In areas under own nation's control: ""Magic Atk. Bonus"" +5",none
Republic Visor,34,WAR / RDM / PLD / DRK / BST / RNG SAM / DRG / BLU,DEF: 14 DEX +1 In areas under own nation's control: HP +6 MP +6,none
San d'Orian Helm,34,WAR / PLD / DRK / BST / SAM / NIN,DEF: 13 AGI +1 In areas under own nation's control: HP +10,none
Windurstian Headgear,34,MNK / WHM / RDM / THF / PLD / BST BRD / DRG / SMN / BLU / COR / PUP,DEF: 11 STR +1 DEX +1 In areas under own nation's control: MP +10,none
Deimos's Mask,35,WAR / PLD / DRK / DRG,DEF: 13 MP +1% Accuracy +1 Attack +1,none
Enlil's Tiara,35,WHM / BRD / SMN,DEF: 9 MP +1% MND +1 CHR +1,none
Freya's Mask,35,THF / BST / RNG / COR,DEF: 10 DEX +1 AGI +1 Ranged Attack +1,none
Hikazu Kabuto,35,MNK / SAM / NIN / PUP,DEF: 12 AGI +1 Accuracy +1 Evasion +1,none
Macha's Crown,35,BLM / RDM / BLU,DEF: 8 MP +1 INT +1 magic accuracy +1,none
Padded Cap,35,WAR / MNK / RDM / THF / PLD / DRK BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 12,none
Plain Cap,35,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 12,none
Rusty Cap,35,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 8,none
Strong Cap,35,WAR / MNK / RDM / THF / PLD / DRK BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 13,none
Alluring Headband,36,All Jobs,DEF: 7 CHR +1 Evasion +4,none
Blink Band,36,All Jobs,"DEF: 6 Evasion +4 Enchantment: ""Blink""",none
Flax Headband,36,All Jobs,DEF: 6 Evasion +4,none
Purple Ribbon,36,All Jobs,32,none
Red Cap,36,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 12,none
Red Cap +1,36,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 13,none
Silver Mask,36,WAR / PLD / DRK / BST / SAM / NIN,DEF: 14,none
Silver Mask +1,36,WAR / PLD / DRK / BST / SAM / NIN,DEF: 15,none
Iron Visor,37,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 14,none
Iron Visor +1,37,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 15,none
Cuir Bandana,38,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 14,none
Cuir Bandana +1,38,WAR / RDM / THF / PLD / DRK / BST BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 15,none
Mage's Hat,38,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 13,none
Velvet Hat,38,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 12,none
