Name,Level,Jobs,Stats,Horizon Changes
Gorney Brayettes,,All Jobs,None,
Bronze Subligar,1,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 3,none
Bronze Subligar +1,1,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 4,none
Chocobo Hose,1,All Jobs,DEF: 1 Chocobo riding time +4,none
Custom Shorts,1,All Jobs,Cannot Equip Footgear DEF: 1,none
Custom Trunks,1,All Jobs,Cannot Equip Footgear DEF: 1,none
Dream Pants,1,All Jobs,DEF: 2,
Dream Pants +1,1,All Jobs,DEF: 3 Enhances the effect of orange juice.,
Dream Trousers,1,All Jobs,DEF: 2,
Dream Trousers +1,1,All Jobs,DEF: 3 Enhances the effect of Orange Juice.,
Elder Trunks,1,All Jobs,Cannot Equip Footgear DEF: 1,none
Elvaan F Chausses,1,All Jobs,DEF: 2,none
Elvaan M Chausses,1,All Jobs,DEF: 2,none
Elvaan Shorts,1,All Jobs,Cannot Equip Footgear DEF: 1,Can be stored in Mog Wardrobe 8.
Elvaan Shorts +1,1,All Jobs,Cannot Equip Footgear DEF: 2 Improves clamming results,Can be stored in Mog Wardrobe 8.
Elvaan Trunks,1,All Jobs,Cannot Equip Footgear DEF: 1,Can be stored in Mog Wardrobe 8.
Elvaan Trunks +1,1,All Jobs,Cannot Equip Footgear DEF: 1 Improves clamming results,Can be stored in Mog Wardrobe 8.
Field Hose,1,All Jobs,DEF: 1 Improves Logging and Harvesting results,none
Fisherman's Hose,1,All Jobs,DEF: 1 Fishing skill +1,none
Galka Trunks,1,All Jobs,Cannot Equip Footgear DEF: 1,Can be stored in Mog Wardrobe 8.
Galka Trunks +1,1,All Jobs,Cannot Equip Footgear DEF: 2 Improves clamming results,Can be stored in Mog Wardrobe 8.
Galkan Braguette,1,All Jobs,DEF: 2,none
Hardcore Brayettes,1,All Jobs,DEF: 1,Cosmetic item received for achievemnts in Hardcore mode - details below.
Hume Pants,1,All Jobs,DEF: 2,none
Hume Shorts,1,All Jobs,Cannot Equip Footgear DEF: 1,Can be stored in Mog Wardrobe 8.
Hume Shorts +1,1,All Jobs,Cannot Equip Footgear DEF: 2 Improves clamming results,Can be stored in Mog Wardrobe 8.
Hume Slacks,1,All Jobs,DEF: 2,none
Hume Trunks,1,All Jobs,Cannot Equip Footgear DEF: 1,Can be stored in Mog Wardrobe 8.
Hume Trunks +1,1,All Jobs,Cannot Equip Footgear DEF: 2 Improves clamming results,Can be stored in Mog Wardrobe 8.
Magna Shorts,1,All Jobs,Cannot Equip Footgear DEF: 1,none
Magna Trunks,1,All Jobs,Cannot Equip Footgear DEF: 1,none
Marine Boxers,1,All Jobs,Cannot Equip Footgear DEF: 1,none
Marine Shorts,1,All Jobs,Cannot Equip Footgear DEF: 1,none
Mithra Shorts,1,All Jobs,Cannot Equip Footgear DEF: 1,Can be stored in Mog Wardrobe 8.
Mithra Shorts +1,1,All Jobs,Cannot Equip Footgear DEF: 2 Improves clamming results,Can be stored in Mog Wardrobe 8.
Mithran Loincloth,1,All Jobs,DEF: 2,none
Rusty Subligar,1,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,,none
Savage Shorts,1,All Jobs,Cannot Equip Footgear DEF: 1,none
Slops,1,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 2,none
Slops +1,1,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 3,none
Tarutaru Braccae,1,All Jobs,DEF: 1,none
Tarutaru Shorts,1,All Jobs,Cannot Equip Footgear DEF: 1,Can be stored in Mog Wardrobe 8.
Tarutaru Shorts +1,1,All Jobs,Cannot Equip Footgear DEF: 2 Improves clamming results,none
Tarutaru Trunks,1,All Jobs,Cannot Equip Footgear DEF: 1,Can be stored in Mog Wardrobe 8.
Tarutaru Trunks +1,1,All Jobs,Cannot Equip Footgear DEF: 2 Improves clamming results,
Vagabond's Hose,1,All Jobs,DEF: 1 HP recovered while healing +1,none
Wonder Shorts,1,All Jobs,Cannot Equip Footgear DEF: 1,none
Wonder Trunks,1,All Jobs,Cannot Equip Footgear DEF: 1,none
Leather Trousers,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5,none
Leather Trousers +1,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 6,none
Sturdy Trousers,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 5 Enchantment: HP +10,none
Sitabaki,8,MNK / SAM / NIN,DEF: 5,none
Sitabaki +1,8,MNK / SAM / NIN,DEF: 6,none
Slacks,8,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 5,none
Slacks +1,8,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 6,none
