Name,Level,Damage,Delay,DPS,Description,Jobs
Aern Spear,1,1,396,0.15,,All Jobs
Aern Spear II,1,1,396,0.15,,All Jobs
Escritorio,1,1,396,0.15,"Dispense: Cone Calamary
<1/1 0:30/[:00:00, 0:30]>",All Jobs
Harpoon,1,8,396,1.21,,WAR / PLD / SAM / DRG
Harpoon +1,1,9,385,1.4,,WAR / PLD / SAM / DRG
Hotengeki,1,1,492,0.12,,All Jobs
Iapetus,1,1,492,0.12,,All Jobs
Mizukage Naginata,1,1,480,0.13,,All Jobs
Pitchfork,1,1,396,0.15,,All Jobs
Pitchfork +1,1,2,369,0.33,Costume: Increases movement speed,All Jobs
Sha Wujing's La. +1,1,2,385,0.31,"Enhances effects of
distilled water
Dispense: Distilled Water
<1/1 0:30/[20:00:00, 0:30]>",All Jobs
Sha Wujing's Lance,1,1,396,0.15,,All Jobs
Tzee Xicu's Blade,1,1,480,0.13,,All Jobs
Obelisk,4,13,396,1.97,STR+1 INT-1 MND-1,WAR / PLD / SAM / DRG
Bronze Spear,7,16,396,2.42,,WAR / PLD / SAM / DRG
Bronze Spear +1,7,17,385,2.65,,WAR / PLD / SAM / DRG
Gimlet Spear,7,16,396,2.42,"Enchantment: Attack+3
<50/50 0:30/[30:00, 0:30]>",WAR / PLD / SAM / DRG
Brass Spear,14,25,396,3.79,,WAR / PLD / SAM / DRG
Brass Spear +1,14,26,385,4.05,,WAR / PLD / SAM / DRG
Spark Spear,14,25,396,3.79,"Additional effect with battery
equipped: Lightning damage",WAR / PLD / SAM / DRG
Spark Spear +1,14,26,385,4.05,"Additional effect with battery
equipped: Lightning damage",WAR / PLD / SAM / DRG
Ryl.Spr. Spear,18,28,396,4.24,,WAR / PLD / SAM / DRG
Cruel Spear,20,29,385,4.52,"INT+2 MND-2
-2 +2
Additional effect: Impairs evasion",WAR / PLD / SAM / DRG
Fuscina,20,31,396,4.7,Additional effect: Lightning damage,WAR / PLD / SAM / DRG
Platoon Lance,20,37,492,4.51,,DRG
Kingdom Spear,23,30,374,4.81,Attack+5,WAR / PLD / SAM / DRG
San d'Orian Spear,23,29,385,4.52,Attack+3,WAR / PLD / SAM / DRG
Spear,24,34,396,5.15,,WAR / PLD / SAM / DRG
Spear +1,24,35,385,5.45,,WAR / PLD / SAM / DRG
Military Spear,28,36,374,5.78,STR+1,WAR / PLD / SAM / DRG
Ryl.Sqr. Halberd,30,37,396,5.61,,WAR / PLD / SAM / DRG
Lizard Piercer,32,36,365,5.92,"Additional effect vs. lizards:
Ice damage",WAR / PLD / SAM / DRG
