Name,Level,Jobs,Stats,Horizon Changes
Anniversary Ring,1,All Jobs,Experience point bonus: +100% Maximum duration: 720 min. Maximum bonus: 3000,
Ascetic's Ring,1,All Jobs,MND +1,none
Bastokan Ring,1,All Jobs,HP +3 DEX +1 VIT +1,Players no longer start with their corresponding nation's ring (e.g. San d'Orian Ring). Instead they are awarded upon completing Nation Mission 1-3.
Castor's Ring,1,All Jobs,None,It is currently unknown if marriages are available on Horizon.
Copper Ring,1,All Jobs,HP +1 MP -1,none
Copper Ring +1,1,All Jobs,HP +2 MP -1,none
Ducal Guard's Ring,1,All Jobs,None,
Hermit's Ring,1,All Jobs,INT+1,none
Homing Ring,1,All Jobs,Enchantment: Outpost Warp,
Pollux's Ring,1,All Jobs,None,none
Return Ring,1,All Jobs,Enchantment: Outpost Warp,none
San d'Orian Ring,1,All Jobs,DEF: 2 STR +1 MND +1,Players no longer start with their corresponding nation's ring (e.g. San d'Orian Ring). Instead they are awarded upon completing Nation Mission 1-3.
Warp Ring,1,All Jobs,Enchantment: Warp,Only obtainable in Hardcore mode - details below.
Windurstian Ring,1,All Jobs,MP +3 AGI +1 INT +1,Players no longer start with their corresponding nation's ring (e.g. San d'Orian Ring). Instead they are awarded upon completing Nation Mission 1-3.
Brass Ring,7,All Jobs,HP +2 MP -2,none
Brass Ring +1,7,All Jobs,HP +3 MP -2,none
Astral Ring,10,All Jobs,Converts 25 HP to MP,
Eremite's Ring,10,All Jobs,INT +2,
Eremite's Ring +1,10,All Jobs,INT +3,
Multiple Ring,10,All Jobs,Latent effect: HP +50 MP +20,none
Safeguard Ring,10,All Jobs,DEF: 2,none
Saintly Ring,10,All Jobs,MND +2,none
Saintly Ring +1,10,All Jobs,MND +3,none
Manashell Ring,11,All Jobs,#ERROR!,none
Shell Ring,11,All Jobs,4,none
Shell Ring +1,11,All Jobs,6,none
Amber Ring,14,All Jobs,VIT+1 +3,none
Amethyst Ring,14,All Jobs,DEX +1+3,none
Armored Ring,14,All Jobs,DEF: 1 Enchantment: DEF: +8,none
Balance Ring,14,All Jobs,DEX +2 +4,none
Balance Ring +1,14,All Jobs,DEF: 1DEX +2+5,none
Clear Ring,14,All Jobs,INT +1 +3,none
Courage Ring,14,All Jobs,STR +2+4,none
Courage Ring +1,14,All Jobs,DEF: 1STR +2+5,none
Energy Ring,14,All Jobs,MP +3 +4,none
Energy Ring +1,14,All Jobs,DEF: 1 MP +5 +5,none
Hope Ring,14,All Jobs,CHR +2+4,none
Hope Ring +1,14,All Jobs,DEF: 1CHR +2+5,none
Knowledge Ring,14,All Jobs,INT +2 +4,none
Knowledge Ring +1,14,All Jobs,DEF: 1 INT +2 +5,none
Lapis Lazuli Ring,14,All Jobs,MND +1+3,none
Leather Ring,14,All Jobs,Def:1,
Leather Ring +1,14,All Jobs,DEF: 2,none
Mighty Ring,14,All Jobs,STR +1 +3 Enchantment: Attack +5 Ranged Attack +5,none
Onyx Ring,14,All Jobs,MP +2 +3,none
Opal Ring,14,All Jobs,CHR +1  +3,none
Poisona Ring,14,All Jobs,"HP +3 MP -3 Enchantment: ""Poisona""",none
Reflex Ring,14,All Jobs,AGI +2+4,none
Reflex Ring +1,14,All Jobs,DEF: 1AGI +2+5,none
Sardonyx Ring,14,All Jobs,STR +1  +3,none
Silver Ring,14,All Jobs,HP +3 MP -3,none
Silver Ring +1,14,All Jobs,HP +4 MP -4,none
Stamina Ring,14,All Jobs,VIT +2 +4,none
Stamina Ring +1,14,All Jobs,DEF: 1 VIT +2 +5,none
Tourmaline Ring,14,All Jobs,AGI +1+3,none
Tranquility Ring,14,All Jobs,MND +2+4,none
Tranquility Ring +1,14,All Jobs,DEF: 1MND +2+5,none
Vision Ring,14,All Jobs,DEX +1+3 Enchantment: Accuracy+2 Ranged Accuracy+2,none
Albatross Ring,15,All Jobs,Enchantment: Increases stamina while fishing,
Fasting Ring,15,All Jobs,HP -20 MP +10 STR +1,none
Pelican Ring,15,All Jobs,Enchantment: Increases rate at which fishing skill is gained,
Penguin Ring,15,All Jobs,Enchantment: Increases skill at tiring fish,The ring is not currently available as the Brigand's quest doesn't work yet on Horizon
Bomb Ring,16,All Jobs,DEF: 2 HP +15 -5,none
Bone Ring,16,All Jobs,Accuracy -2 Ranged Accuracy +2,none
Bone Ring +1,16,All Jobs,Accuracy -2 Ranged Accuracy +3,none
