Name,Level,Damage,Delay,DPS,Description,Jobs
Bronze Zaghnal,1,14,480,1.75,,WAR / DRK / BST
Bronze Zaghnal +1,1,15,470,1.91,,WAR / DRK / BST
Brass Zaghnal,10,25,480,3.13,,WAR / DRK / BST
Brass Zaghnal +1,10,26,470,3.32,,WAR / DRK / BST
Keen Zaghnal,10,25,480,3.13,"Enchantment: Accuracy+3
<50/50 0:30/[30:00, 0:30]>",WAR / DRK / BST
Legionnaire's Scythe,10,27,495,3.27,STR+2 VIT-1,WAR / DRK / BST
Plantreaper,14,30,480,3.75,"Additional effect vs. plantoids: ""Bind""",WAR / DRK / BST
Bastokan Scythe,15,28,480,3.5,MP+4 STR+2 VIT-1,WAR / DRK / BST
Republic Scythe,15,29,465,3.74,MP+6 STR+2 VIT-1,WAR / DRK / BST
Lucent Scythe,18,38,528,4.32,"Enchantment: Delay:475
<50/50 0:30/[30:00, 0:30]>",DRK
Scythe,18,38,528,4.32,,DRK
Scythe +1,18,39,513,4.56,,DRK
Cruel Scythe,20,40,513,4.68,"INT+2 MND-2
-2 +2
Additional effect: Impairs evasion",DRK
Platoon Zaghnal,20,34,470,4.34,,WAR / DRK / BST
Zaghnal,20,35,480,4.38,,WAR / DRK / BST
Zaghnal +1,20,36,470,4.6,,WAR / DRK / BST
Webcutter,24,40,480,5,"Enhances effect of ""Resist Slow""
Additional effect vs. vermin: ""Stun""",WAR / DRK / BST
Frostreaper,27,42,480,5.25,#ERROR!,WAR / DRK / BST
Mercenary Captain's Scythe,30,51,528,5.8,,DRK
Federation Scythe,34,53,498,6.39,"In areas outside own nation's control:
MP+12",DRK
Windurstian Scythe,34,52,513,6.08,"In areas outside own nation's control:
MP+10",DRK
Harvester,37,53,480,6.63,Additional effect vs. plantoids: Weight,WAR / DRK / BST
Mutilator,40,62,502,7.41,Accuracy+3,DRK
Mythril Scythe,40,64,528,7.27,,DRK
Mythril Scythe +1,40,65,513,7.6,,DRK
Raven Scythe,40,68,528,7.73,STR+2 INT+2,DRK
Mythril Zaghnal,42,58,480,7.25,,WAR / DRK / BST
Mythril Zaghnal +1,42,59,466,7.6,,WAR / DRK / BST
Antlion Sickle,46,68,490,8.33,,WAR / BLM / DRK / BST
Jet Sickle,46,67,501,8.02,"Enchantment: TP+100
<100/100 0:30/[10:00, 0:30]>",WAR / BLM / DRK / BST
Mandibular Sickle,46,67,501,8.02,,WAR / BLM / DRK / BST
Falcastra,47,66,466,8.5,DEX+4 AGI-4,WAR / DRK / BST
Barbarian's Scythe,49,76,528,8.64,"Accuracy-5
Attack+25",DRK
Bone Scythe,53,78,502,9.32,,DRK
Bone Scythe +1,53,79,489,9.69,,DRK
Smiting Scythe,54,81,528,9.2,"""Weapon Bash""+8",DRK
Smiting Scythe +1,54,82,513,9.59,"""Weapon Bash""+10",DRK
Demonslicer,55,74,480,9.25,#ERROR!,WAR / DRK / BST
