Name,Level,Damage,Delay,DPS,Description,Jobs
Aern Staff,1,1,366,0.16,,All Jobs
Aern Staff II,1,1,366,0.16,,All Jobs
Ash Staff,1,5,366,0.82,HP+2 MP+2,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Ash Staff +1,1,6,356,1.01,HP+3 MP+3,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Caver's Shovel,1,1,402,0.15,2,All Jobs
Cobra Staff,1,1,366,0.16,"Enchantment: ""Retrace"" (Windurst)
<1/1 0:30/[:00:00, 0:30]>",All Jobs
Fed. Signet Staff,1,1,366,0.16,"Enchantment: ""Signet""
<25/25 0:30/[0:10, 0:30]>",All Jobs
Fourth Staff,1,1,366,0.16,"Enchantment: ""Retrace"" (Bastok)
<1/1 0:30/[:00:00, 0:30]>",All Jobs
Hapy Staff,1,1,366,0.16,"Enchantment: Costume
<1/1 0:30/[1:00:00, 0:30]>",All Jobs
Kgd. Signet Staff,1,1,366,0.16,"Enchantment: ""Signet""
<25/25 0:30/[0:10, 0:30]>",All Jobs
Lamia Staff,1,1,366,0.16,,All Jobs
Levin,1,1,366,0.16,,All Jobs
Malice Masher,1,1,366,0.16,,All Jobs
Malice Masher +1,1,2,356,0.34,"Enchantment: Costume
<1/1 0:30/[1:00:00, 0:30]>",All Jobs
Onion Staff,1,4,366,0.66,,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Profane Staff,1,1,366,0.16,,All Jobs
Ram Staff,1,1,366,0.16,"Enchantment: ""Retrace"" (San d'Oria)
<1/1 0:30/[:00:00, 0:30]>",All Jobs
Ranine Staff,1,1,366,0.16,,All Jobs
Rep. Signet Staff,1,1,366,0.16,"Enchantment: ""Signet""
<25/25 0:30/[0:10, 0:30]>",All Jobs
Savage. Pole,1,1,366,0.16,,All Jobs
Sophistry,1,1,366,0.16,,All Jobs
Treat Staff,1,1,356,0.17,"HP+5 MP+5
Latent effect: ""Warp""",All Jobs
Trick Staff,1,1,356,0.17,HP+1 MP+1,All Jobs
Treat Staff II,2,2,356,0.34,"HP+5 MP+5
Enchantment: ""Warp""
<1/1 0:30/[20:00:00, 0:30]>",All Jobs
Trick Staff II,2,2,356,0.34,"HP+1 MP+1
Enchantment: ""Warp""
<10/10 0:30/[1:00:00, 0:30]>",All Jobs
Ash Pole,5,11,402,1.64,,MNK / WHM / BLM / SMN
Ash Pole +1,5,12,390,1.85,,MNK / WHM / BLM / SMN
Freesword's Staff,10,9,346,1.56,HP+6 MP+6,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Gelong Staff,10,14,390,2.15,HP recovered while healing +4,All Jobs
Lgn. Staff,10,12,376,1.91,HP+6 MP+6,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Holly Staff,11,10,366,1.64,HP+4 MP+4,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Holly Staff +1,11,11,356,1.85,HP+5 MP+5,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Bastokan Staff,15,13,366,2.13,"HP+6 MP+6
Accuracy+1","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Federation Staff,15,11,326,2.02,"HP+6 MP+6
Attack+3","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Pestle,15,11,366,1.8,"MP+10
Additional effect: MP Drain","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Republic Staff,15,14,356,2.36,"HP+6 MP+6
Accuracy+2","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Windurstian Staff,15,10,336,1.79,"HP+6 MP+6
Attack+2","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Flexible Pole,16,20,402,2.99,"Enchantment: Attack+3
<50/50 0:30/[30:00, 0:30]>",MNK / WHM / BLM / SMN
Holly Pole,16,20,402,2.99,,MNK / WHM / BLM / SMN
Holly Pole +1,16,21,390,3.23,,MNK / WHM / BLM / SMN
Monster Signa,17,12,366,1.97,"HP+5 MP+5 VIT-5
CHR+8","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Mercenary's Pole,18,22,402,3.28,,MNK / WHM / BLM / SMN
Misery Staff,20,14,366,2.3,Additional effect: Curse,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Platoon Pole,20,13,366,2.13,,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Elm Staff,23,15,366,2.46,HP+6 MP+6,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Elm Staff +1,23,16,356,2.7,HP+7 MP+7,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Federation Pole,23,24,378,3.81,Attack+5,MNK / WHM / BLM / SMN
Windurstian Pole,23,23,390,3.54,Attack+3,MNK / WHM / BLM / SMN
Spiked Club,25,26,402,3.88,Attack+3,MNK / WHM / PLD / DRG
Spiked Club +1,25,27,390,4.15,Attack+5,MNK / WHM / PLD / DRG
Astaroth Cane,27,14,366,2.3,"INT+2
Magic Accuracy+3","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Dolphin Staff,27,16,366,2.62,"HP+7 MP+7 +6
Additional effect: Water damage","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Melampus Staff,29,16,366,2.62,"INT-2 MND+2
""Cure"" potency +3%","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Spiro Staff,29,9,366,1.48,MP recovered while healing +4,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Elm Pole,30,29,402,4.33,,MNK / WHM / BLM / SMN
Elm Pole +1,30,30,390,4.62,,MNK / WHM / BLM / SMN
Hypno Staff,30,17,366,2.79,Additional effect: Sleep,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Whale Staff,32,18,366,2.95,"HP+14 MP+7 +7
Additional effect: Water damage","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Whale Staff +1,32,19,356,3.2,"HP+15 MP+7 +8
Additional effect: Water damage","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Military Pole,33,29,378,4.6,INT+1,"MNK / WHM / BLM / RDM / PLD / BRD /
RNG / SMN / BLU / PUP"
Oak Staff,39,21,366,3.44,HP+8 MP+8,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Oak Staff +1,39,22,356,3.71,HP+9 MP+9,"WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Passaddhi Staff,39,15,366,2.46,"MND+1
Magic Accuracy+3","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
Passaddhi Staff +1,39,16,356,2.7,"MND+2
Magic Accuracy+4","WAR / MNK / WHM / BLM / RDM / BST /
BRD / SMN"
