Name,Level,Damage,Delay,DPS,Description,Jobs
Aern Sword,1,1,240,0.25,,All Jobs
Aern Sword II,1,1,240,0.25,,All Jobs
Bronze Sword,1,6,231,1.56,,"WAR / RDM / THF / PLD / DRK / BRD /
RNG / NIN / DRG / BLU"
Bronze Sword +1,1,7,225,1.87,,"WAR / RDM / THF / PLD / DRK / BRD /
RNG / NIN / DRG / BLU"
Onion Sword,1,5,228,1.32,,"WAR / RDM / THF / PLD / DRK / BST /
BRD / RNG / NIN / DRG / BLU / COR"
Wax Sword,1,6,225,1.6,,"WAR / RDM / THF / PLD / DRK / BRD /
RNG / NIN / DRG / BLU"
Wax Sword +1,1,7,218,1.93,Accuracy+2,"WAR / RDM / THF / PLD / DRK / BRD /
RNG / NIN / DRG / BLU"
Sapara,7,9,236,2.29,,WAR / THF / DRK / SAM / BLU
Sapara +1,7,10,230,2.61,,WAR / THF / DRK / SAM / BLU
Xiphos,7,8,228,2.11,,"WAR / RDM / THF / PLD / DRK / BST /
BRD / RNG / NIN / DRG / BLU / COR"
Xiphos +1,7,9,222,2.43,,"WAR / RDM / THF / PLD / DRK / BST /
BRD / RNG / NIN / DRG / BLU / COR"
Spatha,9,11,240,2.75,,WAR / RDM / PLD / DRK
Spatha +1,9,12,233,3.09,,WAR / RDM / PLD / DRK
Royal Archer's Sword,10,10,228,2.63,,"WAR / RDM / THF / PLD / DRK / BST /
BRD / RNG / NIN / DRG / BLU / COR"
Bee Spatha,11,13,233,3.35,,WAR / RDM / PLD / DRK
Bee Spatha +1,11,14,227,3.7,Accuracy+2,WAR / RDM / PLD / DRK
Bilbo,13,11,226,2.92,,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / NIN / DRG / COR"
Bilbo +1,13,12,220,3.27,,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / NIN / DRG / COR"
Brass Xiphos,13,12,228,3.16,,"WAR / RDM / THF / PLD / DRK / BST /
BRD / RNG / NIN / DRG / BLU / COR"
Brass Xiphos +1,13,13,222,3.51,,"WAR / RDM / THF / PLD / DRK / BST /
BRD / RNG / NIN / DRG / BLU / COR"
Scimitar,13,13,236,3.31,,WAR / THF / DRK / SAM / BLU
Scimitar +1,13,14,230,3.65,,WAR / THF / DRK / SAM / BLU
Spark Bilbo,13,11,226,2.92,"Additional effect with battery
equipped: Lightning damage","WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / NIN / DRG / COR"
Spark Bilbo +1,13,12,220,3.27,"Additional effect with battery
equipped: Lightning damage","WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / NIN / DRG / COR"
Kingdom Sword,15,12,216,3.33,HP+6,"WAR / RDM / THF / PLD / DRK / BST /
BRD / RNG / NIN / DRG / BLU / COR"
San d'Orian Sword,15,11,222,2.97,HP+4,"WAR / RDM / THF / PLD / DRK / BST /
BRD / RNG / NIN / DRG / BLU / COR"
Fire Sword,18,15,225,4,Additional effect: Fire damage,"WAR / RDM / THF / PLD / DRK / BRD /
RNG / NIN / DRG / BLU"
Flame Sword,18,16,218,4.4,Additional effect: Fire damage,"WAR / RDM / THF / PLD / DRK / BRD /
RNG / NIN / DRG / BLU"
Iron Sword,18,14,231,3.64,,"WAR / RDM / THF / PLD / DRK / BRD /
RNG / NIN / DRG / BLU"
Iron Sword +1,18,15,225,4,,"WAR / RDM / THF / PLD / DRK / BRD /
RNG / NIN / DRG / BLU"
Longsword,18,16,240,4,,WAR / RDM / PLD / DRK
Longsword +1,18,17,233,4.38,,WAR / RDM / PLD / DRK
Vulcan Sword,18,15,225,4,"Additional effect: Fire damage
Enchantment: ""Enfire""
<30/30 0:30/[5:00, 0:30]>","WAR / RDM / THF / PLD / DRK / BRD /
RNG / NIN / DRG / BLU"
Auriga Xiphos,19,17,224,4.55,Accuracy+2,WAR / RDM / PLD / DRK
Small Sword,19,13,226,3.45,DEX+2,"WAR / BLM / RDM / THF / PLD / DRK /
BST / BRD / RNG / NIN / DRG / COR"
Degen,20,14,224,3.75,,WAR / RDM / PLD / BRD / DRG / COR
