Name,Level,Slot,Jobs,Stats,Horizon Changes
White Belt,1,Waist,MNK,STR +1,
Alchemist's Belt,1,Waist,All Jobs,Enchantment: Synthesis Image Support,none
Fisherman's Belt,1,Waist,All Jobs,Enchantment: Fishing Support,none
Gyokuto Obi,1,Waist,All Jobs,Enchantment: Costume,
Rabbit Belt,1,Waist,All Jobs,Enchantment: Costume,
Culinarian's Belt,1,Waist,All Jobs,Enchantment: Synthesis Image Support,
Blacksmith's Belt,1,Waist,All Jobs,Enchantment: Synthesis image support,none
Blood Stone,1,Waist,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,HP +5,none
Blood Stone +1,1,Waist,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,HP +7,none
Bolt Belt,1,Waist,WAR / DRK / RNG,Dispense: Bronze Bolt,none
Boneworker's Belt,1,Waist,All Jobs,Enchantment: Synthesis image support,none
Carpenter's Belt,1,Waist,All Jobs,Enchantment: Synthesis Image Support,none
Goldsmith's Belt,1,Waist,All Jobs,Enchantment: Synthesis Image Support,none
Little Worm Belt,1,Waist,All Jobs,Dispense: Little Worm,none
Lugworm Belt,1,Waist,All Jobs,Dispense: Lugworm,none
Pellet Belt,1,Waist,WAR / MNK / WHM / BLM / THF / DRK / BST / BRD / RNG / NIN / DRG / SMN,Dispense: Pebble,none
Tanner's Belt,1,Waist,All Jobs,Enchantment: Synthesis Image Support,none
Weaver's Belt,1,Waist,All Jobs,Enchantment: Synthesis Image Support,none
Worm Belt,1,Waist,All Jobs,None,
Augmenting Belt,7,Waist,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 2 Enchantment: HP recovered while healing +2,none
Leather Belt,7,Waist,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 1,none
Leather Belt +1,7,Waist,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 2,none
Heko Obi,8,Waist,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP / SCH / GEO / RUN,DEF: 1,
Heko Obi +1,8,Waist,MNK / WHM / BLM / RDM / PLD / BRD RNG / SMN / BLU / PUP,DEF: 2 Spell interruption rate down 8%,none
Talisman Obi,8,Waist,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,DEF: 1 Enchantment: MP +12 Enmity -2,none
Plate Belt,12,Waist,WAR / PLD / DRK,DEF: 2,
Friar's Rope,14,Waist,All Jobs,DEF: 2 MP +5 MND +1 +2 +2,none
